name,twt_handle,tweet_body,post_date,reply_cnt,rt_cnt,like_cnt
,@eraser,Why I left the  Bored   Ape   Yacht Club To truly have the full experience of the BAYC one must break the link between one’s personal identity & take on the  Ape  as a sole…  https:// -bored-ape-yacht-club-794c33bca230 …   #NFT   #BoredApe    #blockchain   #identidadDigital,2022-03-28T08:35:02.000Z,,,4
NFT Whale Alert,@nftwhalealert,"Mutant  Ape   Yacht Club  10445 bought for Ξ35.69 ($118,270.24)
Avg Price: Ξ23.29
Rare Traits:
Eyes: M2 X Eyes - 0.52%
Hat: M2 Stuntman Helmet - 0.35%
Clothes: M2 Bayc T Red - 0.35%
Mouth: M2  Bored  Pipe - 0.37% https:// 786628fea6478f785a6d7e704777c86a7c6/10445 …",2022-03-28T08:30:28.000Z,3,,13
Business GO Digital,@bgdintl,"Yuga Labs, which owns three of the most well-known NFT companies, has raised $450 million in fundraising at a valuation of $4 billion. The company behind  Bored   Ape   Yacht Club  intends to use the funds to establish a media empire centered on NFTs, with games and  metaverse projects",2022-03-28T08:23:48.000Z,1,,3
Miracle world,@nft_clu,"Bored   Ape   Yacht Club  Giveaway (Who follow and retweets  @nft_clu )
l'm giving away one of my   @BoredApeYC    Ape  (floor 100 ETH) - because I just want to change a life (yes, for real). Just Follow With Notifications, Rt and Tag 3.
Lucky Winner at 2,000 Retweets So Harry Up! #NFTGiv",2022-03-28T08:19:11.000Z,2,2,5
JNFTOfficial,@JNFTOfficial,"𝗠𝗮𝗱𝗼𝗻𝗻𝗮 ลง IG ""My very own  Ape ! What should I name her?""  24 มี.ค.  #Madonna  ซื้อ  Bored   Ape   Yacht Club  NFT —  Bored   Ape  No.4988 ในราคา 180 ETH หรือ $560,000 USD แค่เกือบๆ 17 ล้านบาทเองจ้า
Cr.  https://  #JNFT   #NFTTHAILAND   #NFTcollection   #NFTcollector   #NFT   #BAYC",2022-03-28T07:45:14.000Z,1,,3
Bored Ape Yacht Club,@BoredApeSaleBot,Bored   Ape   Yacht Club  #1183 just sold for 107.000 ETH. #NFT   #BAYC   #BoredApeYC   #NFTCommunity   #NFTProject   #NFTdrop   #NFTCollection   #NFTartist,2022-03-28T07:45:04.000Z,2,2,4
NFT Sentiment Updates,@NFTSentimentX,"New big  #NFT  Sale   Bored   Ape   Yacht Club  #1183 bought for Ξ107ETH ($355,208.97)
Floor Price: Ξ106.9ETH",2022-03-28T07:42:26.000Z,,1,2
NftBossAlert,@nftbossalert,"Bored   Ape   Yacht Club  was bought
Price: 107 ETH ($354640.8) 
Seller: ledgerwallet
Buyer: LessCryptic https:// 0eda7647a8ab7c2061c2e118a18a936f13d/1183 …  #BAYC   #NFTSales   #NFTWhale",2022-03-28T07:42:20.000Z,,,
Currency Times,@CurrencyTimes,The Biggest Celebrity NFT Owners in the  Bored   Ape   Yacht Club   https://   #CurrencyTimes   #nft   #NFTart   #Metaverse   #larvaapes,2022-03-28T07:39:27.000Z,,2,5
Trengible - Discover the nft trends,@Trengible," - LessCryptic just bought #1183 for 107 ETH ($354,640.80)

Collection:  Bored   Ape   Yacht Club Date: 2022-03-28 07:38:21 (GMT 0)

Detail:  https:// lub/1183-0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d-1183 …",2022-03-28T07:39:20.000Z,,,
NFT Monitor,@NFT_Monitor,  Bored   Ape   Yacht Club  |  #BAYC   #NFT #1183 sold for 107 ETH (354.64K $)   https:// 0eda7647a8ab7c2061c2e118a18a936f13d/1183 …,2022-03-28T07:38:37.000Z,,1,2
NFT Tracker SOLE Tools,@soletoolsapp,"More here:  https:// Ξ111     Bored   Ape   Yacht Club  (#5842)
Ξ24.5   Mutant  Ape   Yacht Club  (#9094)
Ξ23.9   Mutant  Ape   Yacht Club  (#6251) #NFTArt   #OpenSeaArt   #KuCoin   #Tajikistan",2022-03-28T06:09:03.000Z,,,
NFT FLOOR PRICE UPDATES,@0xbotfather,"Featured Collection:  @TheLoomSociety Daily floor price update

Cryptopunks: 71.99Ξ (  1.47%)
Goons of Balatroon: 0.165Ξ (  -8.33%) Bored   Ape  YC: 106.9Ξ (  3.99%)
Mutant  Ape   Yacht Club : 22.69Ξ (  0.0%)
CLONE X  X TAKASHI MURAKAMI: 15.0Ξ (  0.0%)",2022-03-28T06:07:02.000Z,1,,
BotRocket.io,@botrocket_io,Bored   Ape   Yacht Club  recent sales stats. #NFT   #BAYC   #BoredApeYC   #NFTCommunity   #NFTProject   #NFTdrop   #NFTCollection   #NFTartist,2022-03-28T06:03:03.000Z,1,2,2
Bored Ape Yacht Club,@BoredApeSaleBot,Bored   Ape   Yacht Club  recent sales stats. #NFT   #BAYC   #BoredApeYC   #NFTCommunity   #NFTProject   #NFTdrop   #NFTCollection   #NFTartist,2022-03-28T06:03:02.000Z,,3,6
fluidensity,@fluidensity,"Bored   Ape   Yacht Club  NFT collection has been successful due to unique incentives, report reveals  https://   #art   #contemporaryart   #digitalart   #nft   #metaverse",2022-03-28T06:02:03.000Z,1,1,
NFT Valuations Bot,@NFTValBot,"Biggest Daily Floor Increase 1. Mutant  Ape   Yacht Club : +5% (from Ξ22.15 to Ξ23.20)
2.  Bored   Ape   Yacht Club : +4% (from Ξ103 to Ξ107)
3. Meebits: +3% (from Ξ5.70 to Ξ5.90)
4. CryptoPunks: +1% (from Ξ70.95 to Ξ71.99)
5. CyberKongz: +1% (from Ξ5.60 to Ξ5.65)",2022-03-28T06:00:52.000Z,1,,
Julian,@juliancardonx,"I mean yeah, some of the ideas created until now are good such as the comics or the series (even though I didn’t do really well)

But I’m talking about invisible doodles and the mutant cat  ape   yacht club  and then my gra  ndmas jacked ape doodle club   You get me",2022-03-28T06:00:17.000Z,1,,
NFT Whale Alert,@nftwhalealert,"Hourly Top Volume
Mutant  Ape   Yacht Club : Ξ120.08 ($398,662.00) Bored   Ape   Yacht Club : Ξ111.00 ($368,516.67)
World of Women Galaxy: Ξ96.28 ($319,639.57)
KIWAMI Genesis: Ξ94.91 ($315,099.68)
The Art of Seasons: Ξ80.64 ($267,706.33)",2022-03-28T06:00:07.000Z,,1,11
"Learn Easy Guru | Finance, Tech and Management",@learneasyguru,Top  #NFT  Today Bored   Ape   Yacht Club Price: $324k,2022-03-28T05:18:07.000Z,,,2
NftBossAlert,@nftbossalert,"Bored   Ape   Yacht Club  was bought
Price: 111 ETH ($366972.66) 
Seller: TheWolvesOfCryptoStreet
Buyer: maomao666 https:// 0eda7647a8ab7c2061c2e118a18a936f13d/5842 …  #BAYC   #NFTSales   #NFTWhale",2022-03-28T05:17:28.000Z,,,
Trengible - Discover the nft trends,@Trengible," - maomao666 just bought #5842 for 111 ETH ($366,972.66)

Collection:  Bored   Ape   Yacht Club Date: 2022-03-28 05:16:17 (GMT 0)

Detail:  https:// lub/5842-0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d-5842 …",2022-03-28T05:17:13.000Z,,,1
NFT Monitor,@NFT_Monitor,  Bored   Ape   Yacht Club  |  #BAYC   #NFT #5842 sold for 111 ETH (366.97K $)   https:// 0eda7647a8ab7c2061c2e118a18a936f13d/5842 …,2022-03-28T05:16:30.000Z,,,1
nanocube.io | NFT alerts #2,@nanocubealerts2,"Bored   Ape   Yacht Club  #5842 sold for 111 ETH! ($370314.87)

-  https:// 0eda7647a8ab7c2061c2e118a18a936f13d/5842 … -  https:// bc4ca0eda7647a8ab7c2061c2e118a18a936f13d/5842 … Rarity  3417/10000 #boredape    #bayc   #nft   #nanocube",2022-03-28T05:16:28.000Z,,,1
"Learn Easy Guru | Finance, Tech and Management",@learneasyguru,Top  #NFT  Today Bored   Ape   Yacht Club Price: $324k,2022-03-28T05:16:07.000Z,,,1
Killer Cat Club,@KillerCatClub,"Killer Cat Club NFTs will be the next  Bored   Ape   Yacht Club . 

Mint today!!  #NFT   #NFTCommunity   #NFTdrop",2022-03-28T04:38:33.000Z,4,4,11
CryptoForBonus,@CryptoForBonus1,"10 NFTs with the highest 24H trade volumn: World of Women Galaxy Bored  Ape   Yacht Club  Mutant  Ape   Yacht Club  Azuki MURI by Haus CLONE X-X TAKASHI MURAKAMI KIWAMI Genesis FVCKRENDER ESSENCE// (B)APETAVERSE Bored   Ape  Kennel Club

Follow me to know more",2022-03-28T04:27:30.000Z,,,
NoFugazi,@liwumi300,BAYC : qui a vendu le NFT  Bored   Ape   Yacht Club,2022-03-28T04:18:15.000Z,,1,2
BAYC Bot,@TheBAYCBot,The Current Floor Price for  Bored   Ape   Yacht Club  is Ξ23.2($76569.98) #NFTCommunity   #NFTs   #BAYC    @BoredApeYC    @yugalabs Follow  @ShellMechanic  for more!,2022-03-28T04:16:10.000Z,,,3
Firefly,@firefly_sol,This is logical. Most females tend to act this way upon seeing my  Bored   Ape   Yacht Club  NFT.,2022-03-28T04:11:11.000Z,,,1
NFT FLOOR PRICE UPDATES,@0xbotfather,"Featured Collection:  @TheLoomSociety Daily floor price update

Cryptopunks: 71.99Ξ (  1.47%)
Goons of Balatroon: 0.17Ξ (  -5.56%) Bored   Ape  YC: 106.9Ξ (  3.99%)
Mutant  Ape   Yacht Club : 22.69Ξ (  -1.35%)
CLONE X  X TAKASHI MURAKAMI: 15.0Ξ (  0.0%)",2022-03-28T04:07:02.000Z,1,,
Los Feliz Daycare,@LosFelizDaycare,"Everyone at our Oscars after party is required to have two negative PCR tests, a letter from their therapist, a  bored   ape   yacht club  jpeg, a thriving IMDb page, and please no one hit anyone else on TV.",2022-03-28T04:05:13.000Z,,10,125
CorneliustheApe,@CorneliusAMCApe,Nothing to do  $AMC .  Apecoin is from  Bored   Ape   Yacht Club,2022-03-28T04:05:02.000Z,1,,4
Firefly,@firefly_sol,"1/2 
Interesting thing happened to me today. I was shopping at Bloomingdales for a new pair of underwear, when I was approached by around 15  @DefiPirates . They had asked for my  Bored   Ape   Yacht Club  NFT, but I told them that they were not going to take it from me.",2022-03-28T03:55:34.000Z,1,,5
BAYC Bot,@TheBAYCBot,The Current Floor Price for  Bored   Ape   Yacht Club  is Ξ23.2469($76905.63) #NFTCommunity   #NFTs   #BAYC    @BoredApeYC    @yugalabs Follow  @ShellMechanic  for more!,2022-03-28T03:46:12.000Z,1,3,5
Belieber,@jbn_belieber,All-star owners of  Bored   Ape   Yacht Club  NFTs - Lifestyle Asia Hong Kong - SEE MORE:   #bieber   #justin,2022-03-28T03:42:23.000Z,,,1
美玲,@meiling13316644,"The creators of  Bored   Ape   Yacht Club  are the new owners of CryptoPunks and Meebits brands, while The San Antonio Spurs celebrate its “winningest” basketball coach with NFTs.",2022-03-28T03:17:05.000Z,,,1
BAYC Bot,@TheBAYCBot,The Current Floor Price for  Bored   Ape   Yacht Club  is Ξ23.2469($76611.79) #NFTCommunity   #NFTs   #BAYC    @BoredApeYC    @yugalabs Follow  @ShellMechanic  for more!,2022-03-28T03:16:12.000Z,,2,5
NFT Tracker SOLE Tools,@soletoolsapp,"More here:  https:// Ξ200     Bored   Ape   Yacht Club  (#4740)
Ξ114.5   Bored   Ape   Yacht Club  (#5789)
Ξ50      Bored   Ape  Chemistry Club (#1) #Cryptos   #Games   #UpBit   #Eswatini",2022-03-28T03:09:03.000Z,,,1
Bored Ape Buff Club,@BABCCT,"COMING SOON  The  Bored   Ape  Buff Club (BABC) is a collection of 10,000 unique  Bored   Ape  NFTs— unique digital collectibles living on the Ethereum blockchain.
BABC designed by Borzyankin  are inspired by  Bored   Ape   Yacht Club .

Follow&RT Discord:  http://",2022-03-28T02:47:07.000Z,,,
BAYC Bot,@TheBAYCBot,The Current Floor Price for  Bored   Ape   Yacht Club  is Ξ23.2469($76642.01) #NFTCommunity   #NFTs   #BAYC    @BoredApeYC    @yugalabs Follow  @ShellMechanic  for more!,2022-03-28T02:46:12.000Z,,1,2
NFT Sentiment Updates,@NFTSentimentX,"New big  #NFT  Sale   Bored   Ape   Yacht Club  #5789 bought for Ξ114.5ETH ($378,335.48)
Floor Price: Ξ106.9ETH",2022-03-28T02:42:40.000Z,,,2
Trengible - Discover the nft trends,@Trengible," - 0xc26 just bought #5789 for 114.5 ETH ($376,440.51)

Collection:  Bored   Ape   Yacht Club Date: 2022-03-28 02:39:43 (GMT 0)

Detail:  https:// lub/5789-0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d-5789 …",2022-03-28T02:41:16.000Z,,,1
NFT Monitor,@NFT_Monitor,  Bored   Ape   Yacht Club  |  #BAYC   #NFT #5789 sold for 114.5 ETH (376.44K $)   https:// 0eda7647a8ab7c2061c2e118a18a936f13d/5789 …,2022-03-28T02:40:13.000Z,,2,4
NftBossAlert,@nftbossalert,"Collection:  Bored   Ape   Yacht Club  Bored   Ape   Yacht Club  was bought
Price: 114.5 ETH ($376440.51) 
Seller: Sunsi_
Buyer: Unnamed https:// 0eda7647a8ab7c2061c2e118a18a936f13d/5789 …  #BAYC   #NFTSales   #NFTWhale",2022-03-28T02:40:07.000Z,,,1
nanocube.io | NFT alerts #2,@nanocubealerts2,"Bored   Ape   Yacht Club  #5789 sold for 114.5 ETH! ($378217.54)

-  https:// 0eda7647a8ab7c2061c2e118a18a936f13d/5789 … -  https:// bc4ca0eda7647a8ab7c2061c2e118a18a936f13d/5789 … Rarity  7931/10000 #boredape    #bayc   #nft   #nanocube",2022-03-28T02:40:01.000Z,,,1
Trengible - Discover the nft trends,@Trengible," - MachiBigBrother just bought #4740 for 200 ETH ($658,294.00)

Collection:  Bored   Ape   Yacht Club Date: 2022-03-28 02:09:35 (GMT 0)

Detail:  https:// lub/4740-0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d-4740 …",2022-03-28T02:11:14.000Z,,,1
CryptoNerd,@VeryCryptoNerd,#NFT  Time! On this image you can see  Bored   Ape   Yacht Club  stats. #boredapeyachtclub   #opensea,2022-03-28T02:11:01.000Z,,4,4
ajp,@MetaMor42069,Bored  Fiancé  Yacht Club,2022-03-28T02:10:59.000Z,,,5
NFT Monitor,@NFT_Monitor,  Bored   Ape   Yacht Club  |  #BAYC   #NFT #4740 sold for 200 ETH (658.29K $)   https:// 0eda7647a8ab7c2061c2e118a18a936f13d/4740 …,2022-03-28T02:10:11.000Z,,2,4
NFT Whale Alert,@nftwhalealert,"Bored   Ape   Yacht Club  4740 bought for Ξ200 ($657,538.00)
Avg Price: Ξ105.32
Rare Trait:
Clothes: Prom Dress - 1.03% https:// 0eda7647a8ab7c2061c2e118a18a936f13d/4740 …",2022-03-28T02:10:09.000Z,3,12,41
NFT Notifier,@nft_notifier,Bored   Ape   Yacht Club  had a whale trade just now! Ξ200 sold for  Bored   Ape   Yacht Club  #4740 #BAYC,2022-03-28T02:10:06.000Z,,,1
NFT FLOOR PRICE UPDATES,@0xbotfather,"Featured Collection:  @TheLoomSociety Daily floor price update

Cryptopunks: 71.99Ξ (  1.47%)
Goons of Balatroon: 0.17Ξ (  -5.56%) Bored   Ape  YC: 107.17Ξ (  4.25%)
Mutant  Ape   Yacht Club : 22.69Ξ (  -1.35%)
CLONE X  X TAKASHI MURAKAMI: 15.0Ξ (  0.0%)",2022-03-28T02:07:01.000Z,1,,1
BotRocket.io,@botrocket_io,Bored   Ape   Yacht Club  recent sales stats. #NFT   #BAYC   #BoredApeYC   #NFTCommunity   #NFTProject   #NFTdrop   #NFTCollection   #NFTartist,2022-03-28T02:06:03.000Z,,2,7
CryptoNerd,@VeryCryptoNerd,#NFT  Time! On this image you can see  Bored   Ape   Yacht Club  stats. #boredapeyachtclub   #opensea,2022-03-28T01:11:01.000Z,1,,5
nft watcher bot,@nft_watcher_bot,"Bored   Ape   Yacht Club  was just listed for 107.0 ETH.  https:// 0eda7647a8ab7c2061c2e118a18a936f13d/1183 … .

  #bayc   #mayc   #bakc   #apefollowape   #nft   #nftalerts   #nftwatcher   #watchers   #alerts   #nftbot",2022-03-28T01:06:04.000Z,,,3
Degen Designer,@Degendesigner,I have a vehicle design idea inspired by  bored   ape   yacht club . Sounds a lot of fun in my head  #BAYC   #nftartist,2022-03-28T01:04:47.000Z,1,,4
BotRocket.io,@botrocket_io,Bored   Ape   Yacht Club  recent sales stats. #NFT   #BAYC   #BoredApeYC   #NFTCommunity   #NFTProject   #NFTdrop   #NFTCollection   #NFTartist,2022-03-28T01:03:02.000Z,1,2,7
Bored Ape Yacht Club,@BoredApeSaleBot,Bored   Ape   Yacht Club  recent sales stats. #NFT   #BAYC   #BoredApeYC   #NFTCommunity   #NFTProject   #NFTdrop   #NFTCollection   #NFTartist,2022-03-28T01:03:01.000Z,2,1,5
NFT Whale Alert,@nftwhalealert,"Hourly Top Volume
World of Women Galaxy: Ξ172.85 ($567,288.69) Bored   Ape   Yacht Club : Ξ115.00 ($377,428.85)
Mutant  Ape   Yacht Club : Ξ92.48 ($303,518.44)
The Seekers: Ξ78.27 ($256,865.55)
Azuki: Ξ53.32 ($174,995.71)",2022-03-28T01:00:08.000Z,,1,7
nanocube.io | NFT alerts #2,@nanocubealerts2,"Bored   Ape   Yacht Club  #4355 sold for 82.005 ETH! ($269722.65)

-  https:// 0eda7647a8ab7c2061c2e118a18a936f13d/4355 … -  https:// bc4ca0eda7647a8ab7c2061c2e118a18a936f13d/4355 … Rarity  648/10000 #boredape    #bayc   #nft   #nanocube",2022-03-28T00:53:01.000Z,2,1,4
NFT Whale Alert｜We are hiring,@nftgobot," NFT Big Trade Transfer: [0xa523da] -> [ 0x37ca14] NFT:  Bored   Ape   Yacht Club  #8021  https:// 4ca0eda7647a8ab7c2061c2e118a18a936f13d/8021 …  Price: 115 ETH ($378,531.42) Gas: 0.0101 ETH ($33.24) #BAYC   #boredapeyachtclub",2022-03-28T00:52:25.000Z,,,2
nanocube.io | NFT alerts #2,@nanocubealerts2,"Bored   Ape   Yacht Club  #387 sold for 111.505 ETH! ($365575.83)

-  https:// 0eda7647a8ab7c2061c2e118a18a936f13d/387 … -  https:// bc4ca0eda7647a8ab7c2061c2e118a18a936f13d/387 … Rarity  4462/10000 #boredape    #bayc   #nft   #nanocube",2022-03-28T00:10:48.000Z,,,2
Big Coin Page - Crypto Treasure Hunt,@BigCoinPge,"Can Metasnacks NFT be the next  Bored   Ape   Yacht Club ? Eth staking + 3D, 4K animated art! (via  @bigcoinpge )   #CryptoNews   #nft",2022-03-28T00:07:40.000Z,1,2,6
NFT FLOOR PRICE UPDATES,@0xbotfather,"Featured Collection:  @TheLoomSociety Daily floor price update

Cryptopunks: 71.95Ξ (  1.41%)
Goons of Balatroon: 0.17Ξ (  -5.56%) Bored   Ape  YC: 107.17Ξ (  4.25%)
Mutant  Ape   Yacht Club : 22.69Ξ (  -1.35%)
CLONE X  X TAKASHI MURAKAMI: 15.0Ξ (  0.13%)",2022-03-28T00:07:12.000Z,1,,1
BotRocket.io,@botrocket_io,Bored   Ape   Yacht Club  recent sales stats. #NFT   #BAYC   #BoredApeYC   #NFTCommunity   #NFTProject   #NFTdrop   #NFTCollection   #NFTartist,2022-03-28T00:06:03.000Z,,2,3
Bored Ape Yacht Club,@BoredApeSaleBot,Bored   Ape   Yacht Club  recent sales stats. #NFT   #BAYC   #BoredApeYC   #NFTCommunity   #NFTProject   #NFTdrop   #NFTCollection   #NFTartist,2022-03-28T00:06:02.000Z,,1,3
NFT Valuations Bot,@NFTValBot,"Top 25 Collections By Weekly Sales Volume  1. World of Women Galaxy: Ξ14,435 | $45.50M
2.  Bored   Ape   Yacht Club : Ξ12,019 | $36.65M
3. Azuki: Ξ10,883 | $33.44M
4. Mutant  Ape   Yacht Club : Ξ10,064 | $30.70M
5. CryptoPunks: Ξ4,139 | $12.49M
6. World of Women: Ξ3,897 | $11.85M",2022-03-28T00:00:41.000Z,1,,
Whale NFT Alerts By Quest,@topnftalerts,"Top 3  #NFT  collections which  Bored   Ape  NFT holders SOLD the most in last 24 hrs: 

1. World of Women Galaxy sold 189 times.
2.  @worldofwomennft  sold 114 times.
3. Mutant  Ape   Yacht Club  sold 59 times.

For more stats, join Quest Discord.",2022-03-28T00:00:00.000Z,,,1
Bored Ape Social Club,@BoredApeWine,We at the  Bored   Ape  Social Club aim to deliver the highest class liquor and wine offerings while representing the ethos and culture of the  Bored   Ape   Yacht Club  ,2022-03-27T23:59:42.000Z,,2,2
BAYC Bot,@TheBAYCBot,The Current Floor Price for  Bored   Ape   Yacht Club  is Ξ23.06($75732.73) #NFTCommunity   #NFTs   #BAYC    @BoredApeYC    @yugalabs Follow  @ShellMechanic  for more!,2022-03-27T23:46:24.000Z,,2,1
BAYC Bot,@TheBAYCBot,The Current Floor Price for  Bored   Ape   Yacht Club  is Ξ23.06($75240.86) #NFTCommunity   #NFTs   #BAYC    @BoredApeYC    @yugalabs Follow  @ShellMechanic  for more!,2022-03-27T23:16:25.000Z,,3,7
BeInCrypto | BR-PT,@BeInCrypto_BR,"Uma semana após o lançamento da  #ApeCoin  ( #APE  ) para os detentores do  Bored   Ape   Yacht Club  ( #BAYC ), a criptomoeda já é a mais negociada pelas mil maiores carteiras  #ETH , de acordo com a plataforma de dados  #cripto   #WhaleStats .  #BeInCrypto   Saiba mais:  https://",2022-03-27T23:00:14.000Z,2,,4
NUDIE COMMUNITY,@nudiecommunity,"Happy  #WomensHistoryMonth ! Today we're celebrating the amazing  @Madonna , who has won 279 awards in her incredible career in music and film. She has also just entered the world of  #NFTs  being the latest star to join the  Bored   Ape   Yacht Club .  #NFT   #madonna   #BoredApeYachtClub",2022-03-27T23:00:04.000Z,5,18,60
TheCryptoNotice.com,@thecryptonotice,Bored   Ape   Yacht Club ’s Yuga Labs Acquires CryptoPunks IP From Larva Labs,2022-03-27T22:55:20.000Z,,,
BAYC Bot,@TheBAYCBot,The Current Floor Price for  Bored   Ape   Yacht Club  is Ξ23.06($75383.83) #NFTCommunity   #NFTs   #BAYC    @BoredApeYC    @yugalabs Follow  @ShellMechanic  for more!,2022-03-27T22:46:27.000Z,,1,3
Three Cartoon Avatars,@3cartoonavatars,Highlights from Episode 9 on  Bored   Ape   Yacht Club  (part 2),2022-03-27T22:39:40.000Z,1,,6
Three Cartoon Avatars,@3cartoonavatars,Highlights from Episode 9 on  Bored   Ape   Yacht Club,2022-03-27T22:39:27.000Z,3,1,26
Schiller |,@steven_schill,For you to compare Justin Bieber to  Bored   Ape   Yacht Club  merch. ,2022-03-27T22:37:42.000Z,4,,9
Nizzy,@NizzyNFT,BORED   APE   YACHT CLUB  BEING FEATURED ON THE  #OSCARS ?!? ,2022-03-27T22:30:12.000Z,10,13,143
BAYC Bot,@TheBAYCBot,The Current Floor Price for  Bored   Ape   Yacht Club  is Ξ23.16($75714.9) #NFTCommunity   #NFTs   #BAYC    @BoredApeYC    @yugalabs Follow  @ShellMechanic  for more!,2022-03-27T22:16:28.000Z,1,1,5
Jeff Opdyke (jeffo),@DigitalRoamad,"Not at all. I am saying you clearly do not understand blockchain if you think you can just change a few pixels or right-click/save and think you suddenly have a  Bored   Ape   Yacht Club  or a Portals.

I encourage you to try that and then to tell me what you earned selling it...",2022-03-27T22:16:09.000Z,2,,
CryptoNerd,@VeryCryptoNerd,#NFT  Time! On this image you can see  Bored   Ape   Yacht Club  stats. #boredapeyachtclub   #opensea,2022-03-27T22:11:01.000Z,,1,5
NFT FLOOR PRICE UPDATES,@0xbotfather,"Featured Collection:  @TheLoomSociety Daily floor price update

Cryptopunks: 71.95Ξ (  1.35%)
Goons of Balatroon: 0.17Ξ (  -5.56%) Bored   Ape  YC: 107.17Ξ (  4.05%)
Mutant  Ape   Yacht Club : 22.69Ξ (  -1.35%)
CLONE X  X TAKASHI MURAKAMI: 15.0Ξ (  0.13%)",2022-03-27T22:07:01.000Z,1,,1
Crypto Zone,@Crypto_zonenews,The Biggest Celebrity NFT Owners in the  Bored   Ape   Yacht Club    #CryptoZone   #Bitcoin   #ETH   #NFT   #NEWS,2022-03-27T22:06:27.000Z,1,,1
a girl has no name,@agirlhasNFTs,"Did this fun neon comic based off the  Bored   Ape   Yacht Club  trailer for their game/metaverse. 

DISCLAIMER: I drew this, but do not hold any rights to the original art, nor the  ape  used in the video. I did this for fun because I thought it looked cool    #bayc",2022-03-27T22:05:36.000Z,1,,1
Gaminghodl,@gaminghodl,"DappRadar:   Madonna, one of the biggest names in pop music till date, has joined the  Bored   Ape   Yacht Club  family after purchasing BAYC #4988 yesterday;  @Madonna    Read More:",2022-03-27T22:04:40.000Z,,,
VladNft_pro,@vladmo00,"SALE OF THE DAY    Bored   Ape   Yacht Club  #7725

 Sold for $620K  #BAYC",2022-03-27T22:03:17.000Z,,1,20
NFT Valuations Bot,@NFTValBot,"Top 25 Daily Sales  1.  Bored   Ape   Yacht Club  #3678 sold for Ξ152 | $477,326
Sale value was +42% over collection floor & +2% over adjusted floor.

Collection Floor: Ξ107 | $351,258
Adjusted Floor: Ξ150 | $490,621 https:// redapeyachtclub/3678 …",2022-03-27T22:00:48.000Z,1,,
NonFungiToki • NFT Drops Calendar,@NonFungiToki,  Bored   Ape   Yacht Club  Creators Raise $450 Million to Create an Non-Fungible Token Ecosystem     Read more   https:// t-club-creators-raise-450-million-to-create-an-non-fungible-token-ecosystem/ …  #NFTnews   #cryptonews   #NFTblog   #NFTs,2022-03-27T21:41:16.000Z,,,2
